[NODES;records:=9]
Oslo
Bergen
Trondheim
Stavanger
Kristiansand
Ålesund
Molde
Bodø
Tromsø
[EDGES;records:=26]
Oslo;Bergen;450
Bergen;Oslo;460
Oslo;Trondheim;820
Trondheim;Oslo;790
Oslo;Stavanger;600
Stavanger;Oslo;650
Bergen;Stavanger;210
Stavanger;Bergen;190
Bergen;Trondheim;540
Trondheim;Bergen;520
Trondheim;Ålesund;220
Ålesund;Trondheim;240
Ålesund;Bergen;310
Bergen;Ålesund;300
Stavanger;Kristiansand;180
Kristiansand;Stavanger;170
Kristiansand;Oslo;400
Oslo;Kristiansand;410
Trondheim;Bodø;600
Bodø;Trondheim;620
Bodø;Tromsø;500
Tromsø;Bodø;480
Ålesund;Molde;130
Molde;Ålesund;120
Molde;Trondheim;260
Trondheim;Molde;250
