[NODES;records:=11]
WebServer
Router1
AuthService
CacheServer
Database
APIGateway
LoadBalancer
Firewall
AnalyticsServer
BackupServer
FileServer
[EDGES;records:=16]
WebServer;Router1;4
WebServer;AuthService;8
WebServer;CacheServer;5
Router1;Database;3
Router1;LoadBalancer;2
Router1;Firewall;7
AuthService;Database;2
AuthService;APIGateway;6
CacheServer;LoadBalancer;4
CacheServer;FileServer;3
FileServer;BackupServer;9
Database;AnalyticsServer;5
APIGateway;AnalyticsServer;4
LoadBalancer;Firewall;3
Firewall;BackupServer;8
AnalyticsServer;BackupServer;7
